中文單位名稱,電話,緯度Lat,經度Lng
竹田分駐所,08 7710734,22.584534,120.543853
草衙派出所,07 8213705,22.586317,120.319193
萬丹分駐所,08 7772004,22.587545,120.490038
忠孝派出所,08 7920001,22.588152,120.664765
赤山派出所,08 7833451,22.588653,120.611554
南成派出所,07 7928393,22.589294,120.337728
前鎮街派出所,07 8310309,22.591482,120.308284
泰武分駐所,08 7833038,22.591657,120.628904
過埤派出所,07 7923028,22.592538,120.359961
金峰分駐所,089 751204,22.594472,120.962642
五甲派出所,07 7615839,22.597542,120.334888
瑞隆路派出所,07 8221183,22.5998,120.32587
大寮分駐所,07 7816335,22.602274,120.397045
正興派出所,089 781364,22.6047,120.997109
前鎮分局,07 7242372,22.608151,120.31831
一心路派出所,07 7264661,22.608153,120.318312
復興路派出所,07 3342434,22.610039,120.310195
太麻里分駐所,089 781134,22.610347,121.004903
內埔分局,08 7796801,22.612684,120.569712
內埔派出所,08 7792018,22.612684,120.569712
社皮派出所,08 7073044,22.613977,120.467979
旗津分駐所,07 5715492,22.614067,120.269078
成功路派出所,07 3334793,22.614835,120.297675
新甲派出所,07 7636944,22.615847,120.348224
苓雅分局,07 3353760,22.618407,120.303567
忠義派出所,07 7817429,22.619386,120.382459
民權路派出所,07 3333631,22.620082,120.313748
成功派出所,07 7462453,22.620205,120.364823
西勢派出所,08 7792844,22.62069,120.525511
新濱派出所,07 5514863,22.62233,120.275261
三多路派出所,07 7615655,22.622502,120.330186
五福四路派出所,07 5512968,22.622612,120.285209
自強路派出所,07 2910188,22.623893,120.295682
五福二路派出所,07 2316481,22.623955,120.302962
鳳崗派出所,07 7412244,22.626975,120.357178
七賢路派出所,07 5513534,22.627362,120.282992
鳳山分局,07 7456110,22.627605,120.362853
高雄市政府警察局,07 2155555,22.627964,120.29063
新北勢派出所,08 7792804,22.628662,120.542885
埤頂派出所,07 7013272,22.628691,120.380603
前金分駐所,07 2212901,22.629183,120.294575
凱旋路派出所,07 2236222,22.629483,120.321639
忠孝派出所,07 7402658,22.629703,120.341859
中正三路派出所,07 2270189,22.630486,120.311483
新興分局,07 2212057,22.630659,120.302208
中山路派出所,07 2211209,22.630659,120.302208
鹽埕分局,07 5513424,22.631168,120.283165
建國四路派出所,07 5512832,22.631168,120.283165
福德二路派出所,07 7233343,22.632404,120.327933
鼓山派出所,07 5512673,22.634662,120.282396
中庄派出所,07 7016714,22.634824,120.395617
公館派出所,08 7527484,22.635408,120.482461
三民派出所,07 2211460,22.637002,120.292665
長明派出所,07 2355098,22.638403,120.303774
三民第二分局,07 3814093,22.640787,120.33373
覺民派出所,07 3842108,22.640787,120.33373
文山派出所,07 7324340,22.641228,120.363597
陽明派出所,07 3922032,22.643563,120.337743
哈爾濱街派出所,07 3110785,22.644353,120.29984
十全路派出所,07 3115807,22.645076,120.311471
民族派出所,07 3822653,22.647853,120.315171
大華派出所,07 3701994,22.650096,120.347701
仁美派出所,07 7314057,22.650209,120.394195
三民第一分局,07 3118675,22.651794,120.304803
麟洛分駐所,08 7221528,22.651977,120.524904
大同派出所,08 7555413,22.652718,120.465304
佳義派出所,08 7990163,22.654648,120.632041
九曲派出所,07 6512027,22.65815,120.41801
鼎山派出所,07 3907880,22.659226,120.321711
內惟派出所,07 5826970,22.659499,120.279238
鳥松分駐所,07 7326240,22.659557,120.36445
建國派出所,08 7522978,22.659685,120.495809
龍華派出所,07 5551802,22.66051,120.292886
歸來派出所,08 7224416,22.662032,120.509895
鼎金派出所,07 3426730,22.666752,120.321872
民和派出所,08 7223077,22.667637,120.498033
綠島分駐所,089 672521,22.668104,121.469104
新莊派出所,07 5562630,22.668137,120.311743
龍泉派出所,08 7701744,22.669061,120.600266
鼓山分局,07 5514005,22.669108,120.284827
民族派出所,08 7322072,22.670801,120.483711
啟文派出所,07 5882999,22.671541,120.286231
屏東縣警察局,08 7322598,22.673947,120.489123
屏東分局,08 7322075,22.674426,120.487611
公館派出所,089 672564,22.674743,121.492498
左營分局,07 3461122,22.675546,120.306149
文自派出所,07 3501311,22.675546,120.306149
民生派出所,08 7322646,22.675929,120.488438
長治分駐所,08 7366741,22.676898,120.527888
澄觀派出所,07 3718188,22.677834,120.330511
崇蘭派出所,08-7656206,22.680994,120.482089
舊城派出所,07 5853036,22.682932,120.288374
美和派出所,089 512542,22.684228,121.043125
博愛四路派出所,07 3487976,22.688576,120.317338
大樹分駐所,07 6512439,22.690526,120.433383
左營派出所,07 5813019,22.690595,120.295542
四海派出所,07 5811544,22.693983,120.287039
德協派出所,08 7621604,22.695112,120.548847
海豐派出所,08 7367704,22.698258,120.508515
仁武派出所,07 3711432,22.701829,120.348801
仁武分局,07 3719421,22.701895,120.349036
知本派出所,089 512614,22.705822,121.057462
繁華派出所,08 7621384,22.707105,120.575926
溫泉派出所,089 512379,22.70833,121.041746
瑪家分駐所,08 7991749,22.709241,120.647407
右昌派出所,07 3612977,22.71234,120.289588
後勁派出所,07 3612554,22.715507,120.309279
楠梓分局,07 3653190,22.717938,120.299868
加昌派出所,07 3655961,22.717938,120.299868
振興派出所,08 7020234,22.723623,120.61361
翠屏派出所,07 3649783,22.726622,120.309459
大社分駐所,07 3511369,22.729152,120.354083
溪埔派出所,07 6561044,22.729341,120.445048
楠梓派出所,07 3511145,22.73143,120.328678
九如分駐所,08 7392424,22.73341,120.488876
三地門分駐所,08 7991154,22.733763,120.671564
豐里派出所,089 327815,22.736339,121.121324
赤崁派出所,07 6101404,22.738198,120.247155
新圍派出所,08 7932244,22.74111,120.556998
甲圍派出所,07 6110384,22.741173,120.296814
霧台分駐所,08 7902238,22.749194,120.727429
臺東分局,089 322306,22.749323,121.144313
鳳雄派出所,07 6153054,22.753807,120.355744
中興派出所,089 322127,22.754414,121.146189
寶桑派出所,089 322126,22.755526,121.158512
臺東縣警察局,089 324534,22.755835,121.15081
橋頭分駐所,07 6113555,22.757846,120.310529
鹽埔分駐所,08 7932224,22.757869,120.576783
永樂派出所,089 227818,22.758213,121.123504
梓官分駐所,07 6171403,22.760543,120.266803
東興派出所,089 381714,22.763227,121.050286
馬蘭派出所,089 226492,22.76661,121.13817
口社派出所,08 7957078,22.769906,120.647056
德文派出所,08 7996067,22.770417,120.702409
深水派出所,07 6152054,22.772478,120.389987
嶺口派出所,07 6651021,22.773647,120.449622
利嘉派出所,089 382819,22.774757,121.065186
里港分局,08 7752040,22.779581,120.495474
大平派出所,08 7752034,22.779581,120.495474
彌陀分駐所,07 6176405,22.781302,120.249795
新南派出所,08 7962584,22.784917,120.561177
南王派出所,089 223817,22.786025,121.115264
泰山派出所,08 7956334,22.787086,120.615621
燕巢分駐所,07 6161402,22.79304,120.362118
前峰派出所,07 6265134,22.793686,120.287841
富岡派出所,089 281040,22.794586,121.193683
岡山分局,07 6212025,22.796599,120.295292
舊港派出所,07 6196994,22.799319,120.231212
壽天派出所,07 6216400,22.801965,120.302021
卑南分駐所,089 223820,22.806667,121.09294
青山派出所,08 7960690,22.816743,120.640589
三和派出所,08 7731145,22.817642,120.507429
永安分駐所,07 6912044,22.818798,120.225586
嘉興派出所,07 6216401,22.821752,120.303374
高樹分駐所,08 7962021,22.8266,120.600706
蛙潭派出所,07 6361192,22.830624,120.406617
大洲派出所,07 6661305,22.847667,120.466086
吉東派出所,07 6831744,22.854671,120.53402
舊寮派出所,08 7916063,22.855262,120.61717
路竹分駐所,07 6962615,22.855324,120.259297
廣福派出所,07 6613260,22.857277,120.50444
初鹿派出所,089 571126,22.860963,121.092083
竹滬派出所,07 6981824,22.861659,120.229126
一甲派出所,07 6962954,22.869708,120.267768
田寮分駐所,07 6361878,22.870581,120.359467
都蘭派出所,089 531209,22.875857,121.228946
崇德派出所,07 6366774,22.877539,120.380399
阿蓮分駐所,07 6312029,22.87907,120.328934
龍肚派出所,07 6851797,22.881507,120.572417
旗尾派出所,07 6614306,22.88202,120.492976
中壇派出所,07 6812789,22.886126,120.533947
茂林分駐所,07 6801200,22.886638,120.664189
湖內分局,07 6932155,22.886909,120.244692
湖街派出所,07 6934784,22.887028,120.244412
旗山分局,07 6612001,22.887947,120.483018
建國派出所,07 6612045,22.887947,120.483018
古亭派出所,07 6367058,22.893164,120.402129
紅葉派出所,089 561146,22.893232,121.063033
美濃分駐所,07 6812029,22.89451,120.541942
茄萣分駐所,07 6902272,22.897361,120.183281
鸞山派出所,089 568079,22.899263,121.151931
延平分駐所,089 561245,22.902516,121.08451
新威派出所,07 6871176,22.902666,120.628719
南雄派出所,06 5551907,22.905804,120.356974
湖內派出所,07 6993229,22.908178,120.210914
依仁派出所,06 2661245,22.90829,120.252672
萬山派出所,07 6801203,22.909592,120.680511
多納派出所,07 6801208,22.91015,120.715876
大潭派出所,06 2781450,22.910219,120.271519
鹿野分駐所,089 551114,22.912409,121.135758
砂崙派出所,07 6900055,22.913511,120.184527
廣興派出所,07 6812794,22.913799,120.564567
中埔派出所,07 6673308,22.919824,120.45088
圓潭派出所,07 6691307,22.932717,120.503224
灣裡派出所,06 2622819,22.932818,120.181168
喜樹派出所,06 2622407,22.941026,120.179303
內門分駐所,07 6671309,22.941352,120.462437
文賢派出所,06 2661788,22.943308,120.220938
歸南派出所,06 2307887,22.946972,120.278048
歸仁分局,06 2304964,22.946974,120.278066
龍船派出所,06 5941099,22.948344,120.392177
德南派出所,06 2791341,22.950509,120.251371
瑞源派出所,089 581134,22.957061,121.1586
關廟分駐所,06 5952013,22.960838,120.325949
第六分局,06 2640556,22.961365,120.187897
鹽埕派出所,06 2651592,22.961365,120.187897
鯤鯓派出所,06 2627306,22.961969,120.169119
龍崎分駐所,06 5941010,22.96547,120.359221
第一分局,06 2684867,22.966547,120.23221
德高派出所,06 2693405,22.966547,120.23221
歸仁派出所,06 2304028,22.969986,120.299843
東河分駐所,089 896010,22.970089,121.304096
武陵派出所,089 551164,22.970307,121.117757
仁德分駐所,06 2702664,22.971994,120.250814
大林派出所,06 2150209,22.973583,120.214216
新興派出所,06 2611428,22.974093,120.183697
杉林分駐所,07 6771154,22.974582,120.541452
文化派出所,06 2907243,22.976021,120.221145
金華派出所,06 2640007,22.981374,120.191609
溝坪派出所,07 6601670,22.981983,120.499921
東門派出所,06 2690098,22.982115,120.221626
後甲派出所,06-2676364,22.984786,120.235519
第二分局,06 2139070,22.98535,120.200507
南門派出所,06 2148283,22.98535,120.200507
府東派出所,06 3316119,22.985735,120.243074
瑞豐派出所,089 811419,22.987567,121.140797
華平派出所,06 2951720,22.990554,120.181929
太廟派出所,06 2726472,22.990981,120.259994
東寧派出所,06 2375433,22.991745,120.224143
育平派出所,06 2982674,22.992338,120.167153
博愛派出所,06 2287553,22.992567,120.211535
中正派出所,06 2410135,22.993373,120.194002
媽廟派出所,06 2309731,22.993628,120.293999
第四分局,06 2954116,22.994317,120.168672
民權派出所,06 2223002,22.995588,120.201685
保東派出所,06 5955799,22.996032,120.308482
海安派出所,06 2290153,22.9965,120.192271
莊敬派出所,06 2385398,22.996924,120.231683
義寶派出所,07 6891049,22.99764,120.633834
六龜分局,07 6891119,22.997761,120.633862
泰源派出所,089 891014,22.997829,121.285553
北門派出所,06 2224230,22.997835,120.21167
長樂派出所,06 2222422,22.998098,120.193946
安平派出所,06 2252598,22.998937,120.167661
復興派出所,06 3115874,23.000671,120.235286
立人派出所,06 2224227,23.001688,120.202602
大灣派出所,06 2712274,23.005541,120.269091
開元派出所,06 2345461,23.006826,120.21946
電光派出所,089 951041,23.007274,121.173869
第五分局,06 2598595,23.009995,120.194059
和緯派出所,06 2597695,23.009995,120.194059
實踐派出所,06 2827973,23.011647,120.216708
永信派出所,06 2014059,23.01562,120.248521
公園派出所,06 2520392,23.016212,120.201228
茄興派出所,07 6779274,23.021408,120.54436
知義派出所,06 5902949,23.021524,120.314563
永康分局,06 2333324,23.023846,120.236165
大橋派出所,06 2044835,23.023846,120.236165
都歷派出所,089 841290,23.025345,121.330252
永康派出所,06 2326081,23.025824,120.257365
海南派出所,06 2588946,23.026808,120.184017
安順派出所,06 2562405,23.031514,120.210452
龍潭派出所,06 2327954,23.033809,120.263903
寶山派出所,07 6892464,23.036515,120.70901
唪口派出所,06 5982924,23.038064,120.297939
顯宮派出所,06 2841320,23.040047,120.129857
鹽行派出所,06 2531444,23.041755,120.239556
南化分駐所,06 5771179,23.042187,120.477236
安中派出所,06 2467808,23.043348,120.195489
新化分局,06-5902003,23.044037,120.315568
新化派出所,06 5901022,23.044037,120.315568
崁頂派出所,089 811418,23.045739,121.146388
關山分局,089 811001,23.048057,121.160646
關山派出所,089 811284,23.048057,121.160646
第三分局,06 2567666,23.049765,120.174898
安南派出所,06 2567910,23.049765,120.174898
左鎮分駐所,06 5731017,23.055403,120.40501
岡林派出所,06 5731017,23.055403,120.40501
土城派出所,06 2577403,23.06241,120.129082
和順派出所,06 3554134,23.06254,120.218519
安佃派出所,06 2872960,23.064433,120.173751
長安派出所,06 2569531,23.066616,120.197145
森濤派出所,07 6892474,23.067545,120.755012
那拔派出所,06 5911051,23.068332,120.351069
荖濃派出所,07 6881014,23.07119,120.672509
玉山派出所,06 5772058,23.074978,120.519756
北寮派出所,06 5772057,23.074978,120.519756
潭頂派出所,06 5991934,23.077015,120.321815
新市分駐所,06 5993019,23.079644,120.295731
甲仙分駐所,07 6751204,23.083169,120.589559
港口派出所,06 5932235,23.087856,120.228687
錦安派出所,089 862344,23.094333,121.21923
海寮派出所,06 5931251,23.096848,120.209702
山上分駐所,06 5781019,23.098917,120.358175
成功分局,089 851001,23.099345,121.374991
新豐派出所,089 851054,23.099345,121.374991
海端分駐所,089 931354,23.100375,121.176621
竹橋派出所,06 7891002,23.101452,120.159742
三股派出所,06 7881404,23.101942,120.119939
寶來派出所,07 6881170,23.107535,120.698708
建山派出所,07 6881170,23.107553,120.683524
里關派出所,07 6752006,23.111591,120.606413
玉井分局,06 5742007,23.119423,120.458801
玉井派出所,06 5742479,23.119423,120.458801
望明派出所,06 5742445,23.119423,120.458801
大內分駐所,06 5761039,23.120888,120.358078
二溪派出所,06 5761039,23.120888,120.358078
安定分駐所,06 5922277,23.121177,120.236126
頭社派出所,06 5761564,23.122612,120.391758
西港分駐所,06 7952045,23.122705,120.202937
塭內派出所,06 7891415,23.124052,120.164571
池上分駐所,089 862004,23.124717,121.21855
初來派出所,089 931004,23.125647,121.162255
蘇厝派出所,06 5921514,23.127795,120.254992
善化分局,06 5817434,23.129815,120.268456
高中派出所,07 6881385,23.130395,120.718873
善化派出所,06 5817007,23.131734,120.292944
七股分駐所,06 7872154,23.135961,120.134633
茄拔派出所,06 5837379,23.136913,120.322234
東昌派出所,06 5837379,23.136913,120.322234
永豐派出所,03 8832669,23.152959,121.2658
中鹽派出所,06 7800213,23.153225,120.106912
溪美派出所,06 5817981,23.154145,120.286915
龍泉派出所,089 861344,23.154771,121.191655
忠孝派出所,089 871444,23.158477,121.40045
桃源分駐所,07 6861176,23.158517,120.763771
安業派出所,06 5722804,23.159348,120.246294
佳里分局,06 7222012,23.165232,120.176592
佳里派出所,06 7224145,23.165232,120.176592
拔林派出所,06 6901362,23.171871,120.323717
富里分駐所,03 8831078,23.172643,121.247581
延平派出所,06 7223094,23.173138,120.14934
霧鹿派出所,089 935024,23.173337,121.041503
楠西分駐所,06 5751252,23.174646,120.485979
鹿田派出所,06 5751183,23.174646,120.485979
子龍派出所,06 7262290,23.174777,120.207958
後營派出所,06 7952644,23.174782,120.207934
麻豆分局,06 5722031,23.182753,120.247643
麻豆派出所,06 5722104,23.182753,120.247643
總爺派出所,06 5724310,23.183998,120.267057
利稻派出所,089 938064,23.186732,121.024437
官鎮派出所,06 6901160,23.187894,120.339479
後港派出所,06 7941924,23.188066,120.132738
青鯤鯓派出所,06 7920204,23.189664,120.088261
佳興派出所,06 7261404,23.190191,120.188199
埤頭派出所,06 5701654,23.191551,120.227678
官田分駐所,06 5791800,23.192743,120.313515
將軍分駐所,06 7942182,23.199101,120.158804
七美分駐所,06 9971001,23.207092,119.423229
湖山派出所,06 6982533,23.213822,120.363799
將富派出所,06 7942664,23.215708,120.136325
茅港派出所,06 6892454,23.216743,120.281799
崙天派出所,03 8846067,23.218595,121.264822
苓和派出所,06 7942855,23.218971,120.164205
大丘派出所,06 6981835,23.219362,120.436862
竹田派出所,03 8821044,23.220429,121.282367
學甲分局,06 7832710,23.230197,120.182944
學甲派出所,06 7833208,23.230214,120.18291
六甲分駐所,06 6982139,23.231955,120.347006
下營分駐所,06 6892032,23.23589,120.265916
那瑪夏分駐所,07 6701168,23.237401,120.696636
拉芙蘭派出所,07 6866087,23.240135,120.812868
復興派出所,07 6866087,23.240135,120.812868
鳳林派出所,06 6982390,23.241929,120.320061
竹湖派出所,089 801257,23.243889,121.416181
寧埔派出所,089 801257,23.243889,121.416181
中浯派出所,06 7833907,23.244734,120.156388
文山派出所,06 7862324,23.246404,120.131045
向陽派出所,988095763,23.248135,120.985981
雙吉派出所,06 9991119,23.256044,119.669019
嶼坪派出所,06 9991527,23.256958,119.512844
果毅派出所,06 6231514,23.257079,120.368495
宅港派出所,06 7833904,23.258212,120.203323
梅山派出所,07 6866170,23.264303,120.826021
東原派出所,06 6861051,23.265165,120.445926
北門分駐所,06 7862041,23.265789,120.124543
達卡努瓦派出所,07 6701118,23.267729,120.719542
東里派出所,03 8861114,23.268372,121.305151
竹埔派出所,06 6551960,23.272575,120.247624
柳營分駐所,06 6223424,23.276454,120.31234
頂洲派出所,06 7810040,23.287273,120.20181
蚵寮派出所,06 7860121,23.289313,120.136782
重溪派出所,06 6231664,23.290155,120.367131
華雅派出所,06 6552307,23.292555,120.241911
太宮派出所,06 6524753,23.293621,120.277452
東河派出所,06 6231630,23.29466,120.385614
卓樂派出所,03 8888150,23.295417,121.270041
大埔分駐所,05 2521034,23.299228,120.594573
新營分局,06 6323297,23.30462,120.317713
中山路派出所,06 6322306,23.304691,120.317835
臺南市政府警察局,06 6322210,23.305412,120.316069
過路派出所,05 3436575,23.305493,120.206708
民治派出所,06 6322164,23.310421,120.31318
長濱分駐所,089 831034,23.316674,121.454218
樂合派出所,03 8883384,23.318815,121.342011
鹽水分駐所,06 6521032,23.320894,120.265583
東山分駐所,06 6800024,23.323704,120.404761
新塭派出所,05 3431154,23.328031,120.159464
後鎮派出所,06 6328752,23.330582,120.312737
安溪派出所,06 6361302,23.332175,120.357838
義竹分駐所,05 3412009,23.335687,120.239364
玉里分局,03 8888568,23.33674,121.313701
玉里派出所,03 8882245,23.33674,121.313701
新美派出所,05 2513079,23.337249,120.683838
新店派出所,05 3426104,23.337252,120.197714
關嶺派出所,06 6822629,23.339621,120.504713
河東派出所,06 6854044,23.345373,120.473273
仙草派出所,06 6854044,23.345373,120.473273
卓溪分駐所,03 8886024,23.346307,121.3037
白河分局,06 6852006,23.350826,120.416629
白河派出所,06 6852018,23.350826,120.416629
望安分局,06 9991057,23.356394,119.500326
東垵派出所,06 9991343,23.356394,119.500326
東興派出所,05 2532050,23.360074,120.544783
將軍派出所,06 9902112,23.36391,119.519444
後壁分駐所,06 6872744,23.365581,120.362038
長安派出所,06 6622664,23.367049,120.330531
景山派出所,05 3472607,23.373771,120.187578
下潭派出所,05 3651303,23.375848,120.287114
竹門派出所,06 6854324,23.376243,120.444879
光榮派出所,05 3411223,23.377419,120.247156
布袋派出所,05 3472047,23.378531,120.166522
布袋分局,05 3472574,23.378588,120.166636
菁寮派出所,06 6621401,23.378805,120.335075
玉豐派出所,06 6854887,23.378817,120.416577
大禹派出所,03 8886025,23.38051,121.328538
山美派出所,05 2586154,23.383673,120.668264
中平派出所,03 8887357,23.39449,121.313118
觀音派出所,03 8851040,23.395628,121.3583
內角派出所,06 6816374,23.397509,120.439094
花嶼派出所,06 9991742,23.400175,119.321529
後堀派出所,05 3752444,23.404917,120.342413
同仁派出所,05 2531201,23.405474,120.512688
里佳派出所,05 2511124,23.405516,120.72082
松梅派出所,05 3691572,23.409839,120.255581
鹿草分駐所,05 3752302,23.411957,120.308286
樟原派出所,089 881027,23.412996,121.482621
三間派出所,089 881027,23.412996,121.482621
南靖派出所,05 2682364,23.414627,120.386357
過溝派出所,05 3451064,23.41562,120.177758
公田派出所,05 2586114,23.418301,120.651996
中莊派出所,05 2890654,23.421197,120.437951
中埔分局,05 2531013,23.424704,120.523798
中埔派出所,05 2531203,23.424704,120.523798
三民派出所,03 8841496,23.428394,121.347249
立山派出所,03 8841501,23.429491,121.312642
龍崗派出所,05 3451740,23.432172,120.190891
水上分局,05 2682025,23.432329,120.399186
成功派出所,05 2392064,23.43256,120.475126
水上派出所,05 2682264,23.432597,120.397353
竹村派出所,05 3693219,23.433161,120.246966
柳林派出所,05 2682515,23.438209,120.417651
觸口派出所,05 2591358,23.439682,120.601165
義仁派出所,05 2531202,23.440792,120.533114
頂六派出所,05 2393984,23.448281,120.491176
中港海口派出所,037 460684,23.449113,140.192128
三和派出所,05 2309091,23.449249,120.459086
達邦分駐所,05 2511006,23.454117,120.748968
太保分駐所,05 3711555,23.454229,120.331873
春日派出所,03 8871134,23.455011,121.396321
東石分駐所,05 3732240,23.455474,120.150178
舞鶴派出所,03 8872874,23.457714,121.352112
嘉義縣警察局,05 3620237,23.4586,120.294898
下楫派出所,05 3601849,23.458973,120.151918
大鄉派出所,05 3792091,23.45954,120.262422
八掌派出所,05 2867110,23.461823,120.437719
第二分局,05 2254393,23.46389,120.45575
興安派出所,05 2224593,23.46389,120.45575
復金派出所,05 2611254,23.464166,120.68921
番路分駐所,05 2591212,23.464366,120.55474
朴子分局,05 3793584,23.464915,120.246368
朴子派出所,05 3792014,23.464915,120.246368
港口派出所,03 8781046,23.46956,121.497842
新南派出所,05 2222731,23.47189,120.45433
三江派出所,05 3732501,23.472853,120.172955
竹園派出所,05 2356144,23.47293,120.43229
樂野分駐所,05 2561325,23.473109,120.698359
南門派出所,05 2222725,23.47672,120.45542
長榮派出所,05 2222206,23.47917,120.4431
第一分局,05 2348006,23.47947,120.43165
北鎮派出所,05 2322732,23.47947,120.43165
嘉義市政府警察局,05 2220671,23.48141,120.45458
長竹派出所,05 2770641,23.48261,120.48069
公園派出所,05 2783141,23.48282,120.46308
北門派出所,05 2782727,23.48282,120.45207
雙溪派出所,05 3794553,23.483184,120.278476
內埔派出所,05 2541040,23.484985,120.55936
北興派出所,05 2321294,23.48505,120.44225
港墘派出所,05 3793564,23.485743,120.180677
虎井派出所,06 9291112,23.486734,119.517666
新埤派出所,05 3612280,23.490874,120.332851
十字派出所,05 2511223,23.491283,120.753738
六腳分駐所,05 3802008,23.492926,120.29165
奇美派出所,03 8991071,23.494607,121.447088
紅葉派出所,03 8871372,23.495584,121.344626
南新派出所,05 2373022,23.496622,120.383199
瑞穗分駐所,03 8872057,23.497143,121.377757
鹿滿派出所,05 2611255,23.49786,120.532267
後湖派出所,05 2762726,23.49853,120.4505
中和派出所,05 2561054,23.502103,120.696834
六家派出所,05 3780843,23.505952,120.254126
仁和派出所,05 2110056,23.512073,120.49102
蔦松派出所,05 7841891,23.51277,120.227934
阿里山派出所,05 2679975,23.513219,120.811736
安和派出所,05 3772104,23.514054,120.314862
龍山派出所,05 2611256,23.518114,120.57609
月眉派出所,05 3772524,23.522592,120.351863
竹崎分局,05 2611089,23.523036,120.550836
竹崎派出所,05 2611336,23.523036,120.550836
鎖港派出所,06 9951024,23.523232,119.601231
民興派出所,05 2213735,23.525857,120.420655
永竹派出所,05 3780845,23.527865,120.265267
來吉派出所,05 2661185,23.529491,120.740061
六美派出所,05 3802244,23.530587,120.288891
仁壽派出所,05 2501454,23.531622,120.643576
太和派出所,05 2661055,23.533563,120.72131
北斗派出所,05 2213731,23.534054,120.457062
瑞里派出所,05 2501041,23.540136,120.664771
椬梧派出所,05 7907180,23.546103,120.188975
大南派出所,05 2621412,23.553069,120.551683
民雄分局,05 2262014,23.555078,120.430343
民雄派出所,05 2262192,23.555078,120.430343
菁埔派出所,05 2263510,23.556542,120.398638
新港分駐所,05 3742009,23.556626,120.34638
北美派出所,05 7811105,23.559526,120.303232
南港派出所,05 7811618,23.560888,120.31781
龍門派出所,06 9921434,23.560911,119.674948
太平派出所,05 2571202,23.560912,120.602959
東埔派出所,049 2701321,23.561865,120.928059
豐收派出所,05 2262732,23.562586,120.449745
啟明派出所,06 9272541,23.562957,119.563905
隘門派出所,06 9210780,23.562981,119.637928
文澳派出所,06 9214622,23.563688,119.585805
